County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
전라남도,무안군,삼향읍,남악리 2265번지 0호 중앙프라자 0호,목포스마트원치과병원,치과의사,34.8100314,126.4654867
인천광역시,미추홀구,주안동,1560 삼보빌딩,주안퍼스트병원,병원,37.4513649,126.6901569
충청남도,아산시,배방읍,북수리 1724,프라이드병원,병원,36.7705894,127.0732586
충청남도,당진시,채운동,1133,감인의료재단 아인요양병원,요양병원(일반요양병원),36.884763,126.6319608
부산광역시,수영구,광안동,1070-8,365드림치과병원,치과병원,35.1681334,129.1135882
부산광역시,사상구,감전동,156-4 2층,사상연세비앤이치과병원,치과병원,35.1520095,128.9896584
인천광역시,계양구,계산동,1063-9 동양빌딩,더케이365치과병원,치과병원,37.5386822,126.7348835
경기도,부천시,소사구,소사본동 404-4 한일프라자,새울병원,병원,37.4660015,126.7991218
부산광역시,동래구,안락동,461-9,빌리브세웅병원,병원,35.1958723,129.1082564
충청남도,아산시,탕정면,매곡리 1210,위라이브병원,병원,36.7881023,127.0865996
대구광역시,달서구,월성동,1858,제로치과병원,치과병원,35.8254698,128.529158
충청북도,청주시,상당구,영동 87번지 4호 4호,청주탑병원,의사,36.6369094,127.485912
광주광역시,서구,농성동,417-31,예스정형외과병원,병원,35.1591003,126.8837985
충청북도,청주시,상당구,영동 87-4,청주탑병원,병원,36.6369094,127.485912
충청북도,진천군,진천읍,읍내리 271-4,의료법인 건명의료재단 중앙제일병원,종합병원,36.8585285,127.4405396
충청남도,아산시,탕정면,용두리 704,부인당한방병원,한방병원,36.7969213,127.0540017
경기도,성남시,분당구,"야탑동 366-1 관보골든쇼핑스포츠빌딩, 4층, 5층 503호",365매일한방병원,한방병원,37.4116831,127.1298622
부산광역시,사상구,주례동,235,한국보훈복지의료공단 부산요양병원,요양병원(일반요양병원),35.1538509,129.0068938
인천광역시,중구,신흥동2가,16-152,신세계한방병원,한방병원,37.4675363,126.6348049
광주광역시,북구,운암동,487-8,가람병원,병원,35.1740907,126.8838653
경기도,수원시,팔달구,매산로3가 16-16,수원힐요양병원,요양병원(일반요양병원),37.2713169,127.009438
부산광역시,연제구,연산동,701-4,베테랑병원,병원,35.1852773,129.0815288
경기도,고양시,일산동구,성석동 1306-9,일산다나은한방병원,한방병원,37.7009185,126.7775819
경기도,남양주시,평내동,200-1,혜성병원,병원,37.6501345,127.238335
울산광역시,울주군,삼남읍,"방기리 135-1 (지하2층 일부, 지하1층, 지상 1,2층)",울산이손병원,병원,35.5066939,129.0909103
경기도,의정부시,호원동,414-4,연세베스트병원,병원,37.7265988,127.0478157
대전광역시,서구,관저동,1761 3~7층,더젠병원,병원,36.3019727,127.3365079
대구광역시,북구,복현동,426-7,우리아이아동병원,병원,35.8952199,128.6175007
인천광역시,중구,유동,"18-4 B2~9, 12",퍼스트병원,병원,37.4693942,126.6370597
경기도,안산시,상록구,본오동 877-11 세화병원,세화한방병원,한방병원,37.3020299,126.8615602
경기도,부천시,원미구,"중동 1160-2 필레오트윈파크1, 3층, 4층",자람한방병원,한방병원,37.5022465,126.7637914
전라남도,화순군,도곡면,천암리 785번지 0호 비오메드요양병원 0호,비오메드요양병원,한의사,35.029733,126.9024453
전라남도,화순군,도곡면,천암리 785,비오메드요양병원,요양병원(일반요양병원),35.029733,126.9024453
경기도,부천시,소사구,송내동 329-9 지하1층~지상5층,맘편한요양병원,요양병원(일반요양병원),37.4835386,126.756973
광주광역시,서구,풍암동,685,더(THE)건강한병원,병원,35.1184467,126.8663815
경기도,남양주시,평내동,129-8,국민최상병원,병원,37.6521513,127.2407466
울산광역시,동구,전하동,300-16,아미유한방병원,한방병원,35.5172161,129.4316263
전라남도,무안군,삼향읍,임성리 405번지 0호 0호,남악정다운요양병원,한의사,34.8286576,126.453033
인천광역시,서구,원당동,1043-5 인천검단 엔젤리움1차 윈팰리스 501~509호,노아한방병원,한방병원,37.5933921,126.7113126
전북특별자치도,전주시,완산구,효자동2가 778번지 0호 0호,전주바로병원,의사,35.8004312,127.0993662
인천광역시,부평구,부평동,146-20 1~8층,굿케어요양병원,요양병원(일반요양병원),37.4959914,126.7298547
경상남도,김해시,대청동,305-2,장유뉴욕치과병원,치과병원,35.1908359,128.8022782
경기도,시흥시,정왕동,2703 퍼스트에비뉴2차,거북섬메디컬치과병원,치과병원,37.3273381,126.6768294
광주광역시,북구,유동,33-8,원도요양병원,요양병원(일반요양병원),35.1578456,126.9048827
전라남도,여수시,미평동,570번지 3호 다온한방병원 3호,다온한방병원,한의사,34.7673411,127.7030276
경상남도,밀양시,용평동,289-14,밀양요양병원,요양병원(일반요양병원),35.4887799,128.7724817
충청남도,공주시,금학동,330-3,공주참병원,정신병원,36.434008,127.1143856
대전광역시,중구,선화동,115-5,청춘병원,병원,36.3358716,127.4172945
인천광역시,미추홀구,학익동,293-37 학익동 월드타워,365 엄지한방병원,한방병원,37.4446943,126.6659956
전라남도,목포시,산정동,1728번지 2호 솔튼병원 2호,솔튼병원,의사,34.8107424,126.3763542
광주광역시,서구,농성동,319-7,하일렌요양병원,요양병원(일반요양병원),35.1541581,126.8903884
서울특별시,송파구,풍납동,269-3 지하1~지상5층,동행한방병원,한방병원,37.5305452,127.1127236
경기도,하남시,풍산동,520-1,메디컬오스위트요양병원,요양병원(일반요양병원),37.5551151,127.188554
세종특별자치시,대평동,692,황산프라자,세종하이한방병원,한방병원,36.4710405,127.2754354
서울특별시,강남구,논현동,94-22 카로시티Ⅲ,모두가행복한연세병원,병원,37.5218087,127.0391313
경기도,성남시,분당구,야탑동 382-8 광명조합상가,미라클 병원,병원,37.4110895,127.1335267
경상북도,구미시,남통동,130번지 0호 0호,의료법인 승미의료재단 구미으뜸병원,,36.1201851,128.3098356
대구광역시,달성군,현풍읍,중리 497-2,우리허브병원,병원,35.6916776,128.4538707
인천광역시,미추홀구,주안동,143-6 고려웨딩홀,모아병원,정신병원,37.4625987,126.6807842
경상북도,포항시,북구,장성동 1356번지 0호 0호,소담한방병원,한의사,36.0655254,129.3811557
광주광역시,남구,주월동,961-30,백운한방병원,한방병원,35.1348686,126.8984286
부산광역시,부산진구,부암동,69-5 메리움아파트,큰힘병원,병원,35.1637574,129.0511398
세종특별자치시,나성동,799,MVG,서울현병원,병원,36.4897325,127.2583924
전라남도,순천시,해룡면,상삼리 423번지 0호 순정병원 0호,순정병원,의사,34.9469758,127.5339714
세종특별자치시,아름동,1358,,아름드리나무어린이병원,병원,36.5113999,127.2484109
경기도,수원시,팔달구,인계동 1131 수원시청역 선경센트럴파크,수원본바른한방병원,한방병원,37.2598644,127.0316048
서울특별시,강남구,삼성동,"52-17 마디빌딩 지하3층~지하1층,2층~9층",청담해리슨병원,병원,37.5177133,127.0512388
울산광역시,남구,신정동,176-5,새봄한방병원,한방병원,35.5416482,129.3117998
경기도,고양시,덕양구,지축동 1005-5 벨라미,바른쎌한방병원,한방병원,37.6491514,126.916165
인천광역시,서구,원당동,1043-5 인천검단 엔젤리움1차 윈팰리스,검단조은아이365병원,병원,37.5933921,126.7113126
경기도,수원시,영통구,신동 503-2,리베르여성병원,병원,37.2475467,127.0491345
대전광역시,서구,관저동,"1733 대전 관저 클리닉 센터 4,5층",고래한방병원,한방병원,36.3019562,127.3343935
경상남도,창원시,의창구,도계동 333-14 지하1~2층/ 지상2~6층,창원튼튼i병원,병원,35.2576848,128.6344075
서울특별시,서초구,방배동,"936-12 지하1층일부,2~5층",척바른병원,병원,37.4872028,126.9935713
경상남도,창원시,진해구,풍호동 83-106 더연리지,다나병원,병원,35.1380679,128.7071361
경기도,성남시,중원구,성남동 4933 성남 아리스타 3층 일부,채움한방병원,한방병원,37.4293912,127.1283986
충청남도,천안시,동남구,삼룡동 381-22 B1~3(일부)층,프라미스요양병원,요양병원(일반요양병원),36.7674104,127.1651476
부산광역시,부산진구,부전동,573-7 서면호텔 복합시설,바로서면병원,병원,35.1618621,129.0618698
광주광역시,남구,노대동,845,아미힐요양병원,요양병원(일반요양병원),35.1061761,126.9050722
경기도,시흥시,배곧동,230 배곧중앙프라자,웰손병원,병원,37.3666067,126.7277237
경기도,평택시,고덕면,당현리 199-1 (주)와이에스코퍼레이션-요양원,의료법인 제노플랜의료재단 나우누리요양병원,요양병원(일반요양병원),37.0763109,127.0376364
인천광역시,서구,원당동,"1035-3 태경타워 5,6층 전체",해오름 한방병원,한방병원,37.5938193,126.7163574
서울특별시,강서구,내발산동,654,서울필병원,병원,37.557675,126.8374656
경기도,파주시,와동동,1521-6,더연세퍼스트치과병원,치과병원,37.7371344,126.7634163
경기도,안산시,상록구,이동 715 엔타운,안산 마루병원,병원,37.3090625,126.8518064
인천광역시,서구,원당동,"1035-3 태경타워 3,4층",검단위키즈 병원,병원,37.5938193,126.7163574
경기도,양주시,만송동,358-2,햇살가득요양병원,요양병원(일반요양병원),37.7912842,127.0866846
경기도,고양시,덕양구,지축동 1005-2 청우스타시티,바로요양병원,요양병원(일반요양병원),37.6494372,126.9153585
대전광역시,서구,관저동,567번지 10호 대전세종충남넥슨후원공공어린이재활병원 10호,대전세종충남·넥슨후원 공공어린이재활병원,,36.3088918,127.3336875
대전광역시,서구,관저동,567-10 대전세종충남넥슨후원 공공어린이재활병원,대전세종충남·넥슨후원 공공어린이재활병원,병원,36.3085642,127.3340969
경상북도,영주시,가흥동,1119번지 0호 명품회복병원 가흥2동 0호,의료법인 영주의료재단 명품회복병원,,36.8247581,128.5979523
경상북도,문경시,영신동,450번지 12호 12호,문경점촌요양병원,,36.5886226,128.2135228
광주광역시,동구,계림동,558-3,메이저병원,병원,35.1619616,126.9199389
울산광역시,북구,호계동,988-2 지하1~지상4층,의료법인 월촌의료재단 해솔요양병원,요양병원(일반요양병원),35.6328735,129.3593317
광주광역시,남구,행암동,711,새희망병원,병원,35.1022631,126.8942612
경상남도,창원시,성산구,대원동 132 푸른요양병원,바른병원,병원,35.2372586,128.6583734
경상남도,창원시,성산구,상남동 14-2 서우빌딩,더앞선치과병원,치과병원,35.2232487,128.6839709
경기도,고양시,덕양구,행신동 1078 행신프라자 3~7층,다병원,병원,37.6184534,126.8469903
서울특별시,동대문구,신설동,76-34,더드림요양병원,요양병원(일반요양병원),37.5767129,127.0249211
경기도,안산시,상록구,월피동 445-29 에스엘타운,성포마루한방병원,한방병원,37.3281878,126.8476911
경상북도,안동시,서후면,명리 422번지 11호 건양요양병원 11호,건양요양병원,,36.587913,128.6517489
대전광역시,서구,탄방동,78-21 중경한방병원 2층~5층,중경한방병원,한방병원,36.3392373,127.3941212
경기도,용인시,수지구,풍덕천동 552-1 거묵라자6,씨에스한방병원,한방병원,37.315423,127.086847
전라남도,목포시,용해동,413번지 0호 0호,목포더좋은요양병원,한의사,34.8167453,126.4004797
충청남도,서산시,예천동,25-2,우리본병원,병원,36.7729686,126.4522418
경기도,시흥시,대야동,418-57,연세더바로병원,병원,37.4392945,126.7887499
대구광역시,서구,평리동,1335-18,제이원병원,정신병원,35.8704221,128.5565903
부산광역시,사하구,장림동,183-2,부산더키즈병원,병원,35.0816791,128.9769339
경기도,파주시,와동동,1426 월드타워9,코키아한방병원,한방병원,37.724584,126.7619143
제주특별자치도,제주시,조천읍,와흘리 777,제주푸른병원,병원,33.4770512,126.6397733
울산광역시,북구,상안동,358-48 지하1층~지상8층,북울산병원,병원,35.6287262,129.344257
서울특별시,강동구,길동,412-10 SC MEDI TOWER,위드힘병원,병원,37.5363838,127.1390878
서울특별시,노원구,상계동,301-6 파로스병원,새힘병원,병원,37.6537232,127.0679006
부산광역시,사상구,감전동,168-1,의료법인 나라의료재단 스마트나라요양병원,요양병원(일반요양병원),35.1516886,128.9729379
전북특별자치도,고창군,고창읍,석정리 712번지 0호 0호,석정웰파크요양병원,의사,35.4312795,126.7365349
인천광역시,부평구,부평동,374-8 메타타워 2~6층,플란치과병원,치과병원,37.4969452,126.7243612
서울특별시,중랑구,망우동,460-1 연세산돌병원,연세산돌병원,병원,37.5951401,127.098908
광주광역시,북구,운암동,1059-4,힘내라정형외과병원,병원,35.1831326,126.8711482
서울특별시,강동구,천호동,"401-5 5층일부,6~7층",경희디에스한방병원,한방병원,37.5416805,127.1299348
경기도,안양시,동안구,호계동 712,시대병원,병원,37.3672034,126.9551169
경기도,의정부시,녹양동,317,의료법인 해창의료재단 블루힐요양병원,요양병원(일반요양병원),37.7575941,127.0195041
전라남도,신안군,압해읍,동서리 69번지 3호,신안군공립요양병원,요양병원(일반요양병원),34.8554332,126.3149221
부산광역시,부산진구,부전동,398-8,라인업치과병원,치과병원,35.1597172,129.0563395
경상남도,김해시,내동,1124-4,더프라임병원,병원,35.2382303,128.8665989
경기도,파주시,와동동,1423-2,달리자병원,병원,37.7249836,126.7615126
서울특별시,서대문구,홍은동,275-59 미도빌딩,신촌힐링요양병원,요양병원(일반요양병원),37.5797616,126.9339471
대구광역시,서구,평리동,1335-18,뉴경대요양병원,요양병원(일반요양병원),35.8704221,128.5565903
인천광역시,계양구,작전동,708-2 해룡빌딩,마음편한병원,정신병원,37.5251192,126.7343907
부산광역시,동래구,사직동,102-14 거인병원,거인병원,병원,35.1947515,129.065317
서울특별시,강남구,논현동,54-4,무이재한방병원,한방병원,37.5121035,127.0236489
부산광역시,강서구,명지동,3593-1 우진메디컬프라자,우아한방병원,한방병원,35.0913059,128.9033631
광주광역시,서구,치평동,894-7,스마일요양병원,요양병원(일반요양병원),35.149571,126.8372037
제주특별자치도,제주시,용담일동,2829-14 아세아빌딩,의료법인 연강의료재단 연강참병원,정신병원,33.5002412,126.5152566
전라남도,순천시,조례동,816번지 1호 1호,이본한방병원,한의사,34.96655,127.5204887
인천광역시,연수구,연수동,597-1,희망찬요양병원,요양병원(일반요양병원),37.4146617,126.6774172
부산광역시,부산진구,개금동,511-1 개금메디칼빌딩,개금진한방병원,한방병원,35.1536113,129.0216729
경기도,고양시,덕양구,지축동 0 로로프라자,홀리병원,병원,,
전라남도,순천시,조례동,816-1,이본한방병원,한방병원,34.96655,127.5204887
서울특별시,강서구,등촌동,726 가양역 두산위브,강서365한방병원,한방병원,37.5564869,126.8543434
서울특별시,도봉구,창동,553-2 3~7층,자향한방병원,한방병원,37.6375689,127.0364975
경상북도,경산시,사동,559번지 1호 1호,리암요양병원,,35.8198895,128.7552026
인천광역시,중구,중산동,1873번지 1호 영종M타워 1호,슈어치과교정과치과병원,치과의사,37.4881812,126.5583885
경상북도,구미시,구평동,686번지 5호 5호,구미숲요양병원,의사,36.0877155,128.4306677
경기도,화성시,봉담읍,상리 690-1,행복한방병원,한방병원,37.2252233,126.9469022
부산광역시,동래구,온천동,"1441-13 3층일부, 7~10층",새봄병원,병원,35.2046768,129.0765434
경기도,남양주시,다산동,6193-1,엘에스한방병원,한방병원,37.6109268,127.1687906
경기도,광주시,경안동,63-2 디에이치타워,더좋은한방병원,한방병원,37.4114376,127.2580892
인천광역시,미추홀구,숭의동,342-5,저스트병원,병원,37.461748,126.6420556
경기도,화성시,향남읍,하길리 1470-6,다래한방병원,한방병원,37.1143647,126.912594
경기도,하남시,풍산동,522-3 위너스프라자,청우한방병원,한방병원,37.5537309,127.1858067
경기도,시흥시,대야동,650-1,삼성본어스병원,병원,37.4510964,126.7947545
부산광역시,동래구,온천동,"1250-10 류엔미즈메디컬 지하1, 3~12층",부산미남병원,병원,35.2033281,129.0661379
경기도,수원시,팔달구,인계동 1035-5 스마트 타워,태온한방병원,한방병원,37.2672528,127.0307443
대구광역시,북구,침산동,285-10 2~4층,수월한방병원,한방병원,35.8890212,128.5916751
경기도,안양시,동안구,비산동 1114 (주)신한방 평촌지구 매장1,365매일한방병원,한방병원,37.3922624,126.9530445
경상북도,포항시,남구,상도동 5번지 8호 삼광빌딩 8호,수한방병원,한의사,36.0193542,129.3591774
대구광역시,서구,비산동,1208-2,팔달요양병원,요양병원(일반요양병원),35.8887767,128.566754
부산광역시,동래구,안락동,432-1 세원메디칼센터,동래정한방병원,한방병원,35.1985957,129.0984846
서울특별시,서초구,서초동,1302-2 대지스포츠프라자,자이비뇨의학과병원,병원,37.502743,127.0218007
서울특별시,성북구,정릉동,674-3 그린존,플러스요양병원,요양병원(일반요양병원),37.6083196,127.0039482
인천광역시,서구,청라동,165-12 지젤엠청라,나움병원,병원,37.5336949,126.6557155
인천광역시,서구,청라동,165번지 12호 지젤엠청라 A동 12호,나움병원,의사,37.5358394,126.6540144
인천광역시,부평구,부평동,"210-3 7~9층, 10층일부(1001~1005호, 1007~1008호)",연세백퍼센트병원,병원,37.4945062,126.7259876
인천광역시,남동구,간석동,895-3,세찬한방병원,한방병원,37.4653485,126.69303
경상북도,영천시,오수동,115번지 0호 0호,의료법인 현보의료재단 해오름요양병원,,35.9587258,128.9140695
경상북도,영천시,오수동,115,의료법인 현보의료재단 해오름요양병원,요양병원(일반요양병원),35.9587258,128.9140695
경기도,용인시,처인구,김량장동 254-126 4~7층,용인한방병원,한방병원,37.2352541,127.2037767
전라남도,여수시,관문동,979번지 1호 1호,우리한방병원,한의사,34.7436532,127.7408083
경기도,파주시,금촌동,948-3 파주드림요양병원,파주드림요양병원,요양병원(일반요양병원),37.7580006,126.774732
경기도,수원시,권선구,호매실동 1401,반듯한방병원,한방병원,37.2581768,126.9626067
서울특별시,동대문구,장안동,311-5 장안동의료시설,엔플러스병원,병원,37.5754911,127.0726353
부산광역시,사하구,하단동,528-11 일성빌딩,부산자생한방병원,한방병원,35.1066377,128.9677029
경기도,시흥시,은행동,529-6 반도프라자,세안한방병원,한방병원,37.4447414,126.7995896
경기도,고양시,일산서구,대화동 2219,일산365한방병원,한방병원,37.6763435,126.7462059
대구광역시,북구,대현동,321-39,미래병원,병원,35.8775783,128.6065617
인천광역시,중구,중산동,1873번지 3호 3호,스카이한방병원,한의사,37.4881812,126.5583885
광주광역시,광산구,산월동,887-1 광주보훈병원,광주보훈요양병원,요양병원(일반요양병원),35.2077921,126.849486
경상북도,청도군,매전면,동산리 19번지 1호 1호,의료법인명보의료재단청춘병원,,35.6711978,128.8605195
서울특별시,송파구,오금동,24-2 데코빌딩,오쿨리한방병원,한방병원,37.5077861,127.1303921
서울특별시,강서구,내발산동,668,비에스코아이비인후과병원,병원,37.5547141,126.8365497
서울특별시,도봉구,방학동,"676-21 SYO빌딩 1층, 4층",희성한방병원,한방병원,37.6626399,127.0406059
광주광역시,북구,각화동,480-13,온한방병원,한방병원,35.1826392,126.931846
인천광역시,남동구,간석동,207-1 인천국제한방병원,인천국제한방병원,한방병원,37.4624236,126.7088994
부산광역시,부산진구,부전동,535-9 대동레미안,메타한방병원,한방병원,35.1511318,129.05885
경기도,시흥시,능곡동,898-9 더나은프라자,흥케이병원,병원,37.3699081,126.8078775
서울특별시,강북구,미아동,304-7,경희황소한방병원,한방병원,37.6249541,127.0263287
경기도,안산시,단원구,고잔동 716 더와이피,진성한방병원,한방병원,37.3095605,126.828344
인천광역시,연수구,연수동,"599-5 탑피온빌딩, 10층 1001호 11층 1호",토탈케어한방병원,한방병원,37.4129795,126.6767126
광주광역시,북구,운암동,783번지 2호 2호,구암병원,,35.1731972,126.870068
인천광역시,연수구,송도동,21번지 40호 40호,청담해리슨송도병원,의사,37.3980266,126.6480356
인천광역시,연수구,송도동,21-40 기은빌딩 3~8층,청담해리슨송도병원,병원,37.3969417,126.6486651
경기도,파주시,금촌동,495-1,메디인병원,종합병원,37.7614776,126.7674398
제주특별자치도,제주시,삼도일동,804-1,제주하늘의료소비자생활협동조합하나요양병원,요양병원(일반요양병원),33.5086885,126.5196342
경기도,의정부시,금오동,439,의정부 모커리한방병원,한방병원,37.7504134,127.0503585
경상북도,포항시,남구,오천읍 구정리 521번지 0호 오천경희요양병원 0호,의료법인경진의료재단 오천경희요양병원,의사,35.9816028,129.4086469
광주광역시,북구,각화동,480-13,빛고을생생병원,병원,35.1826392,126.931846
대구광역시,북구,태전동,1233,의료법인 대구의료재단 케이병원,병원,35.9277214,128.5468265
서울특별시,강남구,대치동,907-16 더드림병원,더드림병원,병원,37.5009894,127.0509341
전북특별자치도,전주시,덕진구,인후동1가 822번지 4호,더세움병원,병원,35.8327802,127.1589102
서울특별시,강서구,화곡동,1051-22,서울원병원,병원,37.5423515,126.8390929
대구광역시,달서구,감삼동,61-2 5층~10층,잘보는한방병원,한방병원,35.8542396,128.5467233
경기도,성남시,수정구,창곡동 509 창곡동 509번지 4층 일부호,경희위례한방병원,한방병원,37.4734862,127.1427444
경기도,평택시,동삭동,0,지제도솔한방병원,한방병원,,
전라남도,여수시,선원동,428번지 3호 3호,현송요양병원,한의사,34.7767263,127.6615233
