지방청,총괄국명,관내국,우편번호,주소,전화번호
서울청,서울마포우체국,서강대학교우편취급국,04107,"서울특별시 마포구 백범로 35 (신수동,서강대학교)",02-716-0098
서울청,서울마포우체국,서울공덕2동우편취급국,04210,서울특별시 마포구 마포대로14길 14-1 (공덕동),02-715-0411
서울청,서울마포우체국,서울노고산동우편취급국,04102,서울특별시 마포구 백범로1길 18 (노고산동),02-706-9566
서울청,서울마포우체국,서울대흥동우편취급국,04136,서울특별시 마포구 백범로17길 3(대흥동 198-1),02-716-2005
서울청,서울마포우체국,서울도화동우편취급국,04173,서울특별시 마포구 삼개로 24 용현빌딩(도화동 288-1),02-713-6600
서울청,서울마포우체국,서울동교동우편취급국,04056,서울특별시 마포구 신촌로4길 3 (동교동),02-335-1205
서울청,서울마포우체국,서울마포우체국,04156,"서울특별시 마포구 마포대로 89 (도화동, POSTTOWER)",02-6901-7699
서울청,서울마포우체국,서울망원동우편취급국,03958,"서울특별시 마포구 망원로 49 ,1층 (망원동, 망원빌딩)",02-385-4040
서울청,서울마포우체국,서울상암동우편취급국,03927,서울특별시 마포구 월드컵북로 348 (상암동),02-304-3984
서울청,서울마포우체국,서울상암디지털우체국,03905,서울특별시 마포구 상암산로1길 75 (상암동),02-303-1841
서울청,서울마포우체국,서울서교동우체국,04045,서울특별시 마포구 양화로 62 (서교동),02-332-0288
서울청,서울마포우체국,서울서부지방법원우체국,04207,서울특별시 마포구 마포대로 174 (공덕동),02-711-4220
서울청,서울마포우체국,서울성산2동우체국,03936,서울특별시 마포구 월드컵북로 227 (성산동),02-306-2006
서울청,서울마포우체국,서울성산동우체국,03973,서울특별시 마포구 월드컵북로 112 (성산동),02-333-6117
서울청,서울마포우체국,서울성산유원우편취급국,03949,서울특별시 마포구 월드컵북로26길 17 (성산동),02-303-3791
서울청,서울마포우체국,서울신수동우편취급국,04088,서울특별시 마포구 신수로 46 (신수동),02-718-3334
서울청,서울마포우체국,서울아현동우체국,04116,서울특별시 마포구 신촌로 266 (아현동),02-313-0205
서울청,서울마포우체국,서울용강동우편취급국,04159,서울특별시 마포구 토정로 277 (용강동),02-703-1382
서울청,서울마포우체국,서울창전동우체국,04067,서울특별시 마포구 독막로 109 (상수동),02-333-6118
서울청,서울은평우체국,서울갈현1동우편취급국,03320,서울특별시 은평구 갈현로 277 (갈현동 434-4),02-358-2234
서울청,서울은평우체국,서울갈현동우체국,03335,서울특별시 은평구 서오릉로 190 (갈현동 489-5),02-359-2005
서울청,서울은평우체국,서울녹번동우편취급국,03375,"서울특별시 은평구 진흥로 184-1 (녹번동, 대원빌딩)",02-385-0004
서울청,서울은평우체국,서울대조동우체국,03391,서울특별시 은평구 통일로71길 20(대조동 84-113),02-353-2005
서울청,서울은평우체국,서울불광2동우편취급국,03344,서울특별시 은평구 통일로80길 15 (불광동 312-70),02-382-2205
서울청,서울은평우체국,서울수색우체국,03502,서울특별시 은평구 수색로 248 (수색동 101-7),02-302-0205
서울청,서울은평우체국,서울신사미성우편취급국,03445,서울특별시 은평구 은평터널로7길 2 (신사동 358),02-373-6002
서울청,서울은평우체국,서울역촌동우편취급국,03415,서울특별시 은평구 갈현로 94 (역촌동 50-55),02-354-1774
서울청,서울은평우체국,서울연신내우체국,03347,서울특별시 은평구 연서로 306 (불광동 123-1),02-357-0205
서울청,서울은평우체국,서울은평우체국,03306,서울 은평구 진관2로 29-8 (진관동 77),02-350-3514
서울청,서울은평우체국,서울응암1동우체국,03462,"서울특별시 은평구 은평로 170 (응암동,상현빌딩)",02-385-0100
서울청,서울은평우체국,서울응암동우체국,03467,서울특별시 은평구 응암로 214 (응암동 576-37),02-303-2005
서울청,동대문우체국,경희대학교우편취급국,02447,"서울특별시 동대문구 경희대로 26 (회기동,경희대학교)",02-957-5100
서울청,동대문우체국,동대문우체국,02586,"서울 동대문구 천호대로 4 (신설동, 117-23)",02-2210-3703
서울청,동대문우체국,서울답십리우편취급국,02602,"서울특별시 동대문구 황물로 103, 101호 (답십리동)",02-3390-4542
서울청,동대문우체국,서울시립대학교우편취급국,02504,"서울특별시 동대문구 서울시립대로 163, 서울시립대학교 자연과학관 (전농동)",02-6490-2960
서울청,동대문우체국,서울용두1동우편취급국,02566,"서울특별시 동대문구 정릉천동로 58 상가 113호 (용두동,롯데캐슬피렌체아파트)",02-962-2105
서울청,동대문우체국,서울이문동우체국,02403,서울특별시 동대문구 이문로 133 (이문동),02-965-2005
서울청,동대문우체국,서울장안2동우체국,02526,서울특별시 동대문구 사가정로 240 (장안동),02-2247-5018
서울청,동대문우체국,서울장안동우체국,02628,서울특별시 동대문구 한천로14길 53 (장안동),02-2244-2005
서울청,동대문우체국,서울전농동우체국,02539,서울특별시 동대문구 전농로 131 (전농동),02-2245-0205
서울청,동대문우체국,서울제기2동우편취급국,02477,"서울특별시 동대문구 안암로 86-1  1층 1호 (제기동, 서울제기2동우편취급국)",02-923-0205
서울청,동대문우체국,서울제기동우체국,02571,서울특별시 동대문구 고산자로 476 (제기동),02-968-2006
서울청,동대문우체국,서울청량리우체국,02490,서울특별시 동대문구 홍릉로 10 (청량리동),02-962-0014
서울청,동대문우체국,서울휘경동우체국,02444,서울특별시 동대문구 회기로 201 (휘경동),02-965-2336
서울청,동대문우체국,한국외국어대학교우편취급국,02450,"서울특별시 동대문구 이문로 107 (이문동,한국외국어대학교)",02-960-1311
서울청,서울중랑우체국,서울망우1동우체국,02059,서울특별시 중랑구 망우로 447 (망우동),02-496-2005
서울청,서울중랑우체국,서울면목2동우편취급국,02126,서울특별시 중랑구 중랑천로 64 (면목동),02-491-0004
서울청,서울중랑우체국,서울면목동우체국,02210,"서울특별시 중랑구 면목로 344 (면목동,면목우체국)",02-432-2005
서울청,서울중랑우체국,서울묵동우체국,02006,"서울특별시 중랑구 동일로 895 (묵동,묵동우체국)",02-975-0004
서울청,서울중랑우체국,서울상봉1동우편취급국,02091,서울특별시 중랑구 상봉중앙로1길 12 (상봉동),02-493-2003
서울청,서울중랑우체국,서울신내1동우편취급국,02054,"서울특별시 중랑구 봉화산로 221 (신내동,동성타워프라자)",02-3422-2008
서울청,서울중랑우체국,서울신내동우체국,02024,서울특별시 중랑구 신내로17길 112 (신내동),02-3421-2005
서울청,서울중랑우체국,서울중랑우체국,02098,서울특별시 중랑구 망우로 271 (상봉동),02-2239-0599
서울청,서울중랑우체국,서울중화동우체국,02088,"서울특별시 중랑구 동일로 784 (중화동,중화동우체국)",02-435-2005
서울청,서울강동우체국,서울강동우체국,05350,서울특별시 강동구 양재대로112길 57 (길동),02-440-2828
서울청,서울강동우체국,서울강일동우체국,05211,서울특별시 강동구 아리수로91길 12 (강일동),02-3427-4565
서울청,서울강동우체국,서울고덕동우체국,05273,서울특별시 강동구 고덕로80길 8 (상일동),02-6954-0556
서울청,서울강동우체국,서울고덕시영우편취급국,05226,서울특별시 강동구 동남로81길 36 (고덕동),02-441-1186
서울청,서울강동우체국,서울둔촌2동우편취급국,05362,"서울특별시 강동구 양재대로102길 11 (둔촌동,광남캐스빌아파트)",02-479-1717
서울청,서울강동우체국,서울명일동우체국,05292,서울특별시 강동구 구천면로 424-9 (명일동),02-3427-2001
서울청,서울강동우체국,서울명일삼익우편취급국,05296,"서울특별시 강동구 천중로51길 102 (명일동,금정빌딩)",02-3428-0004
서울청,서울강동우체국,서울명일현대우편취급국,05270,"서울특별시 강동구 동남로71길 23 (명일동,한양아파트)",02-442-0205
서울청,서울강동우체국,서울상일동우체국,05283,서울특별시 강동구 상일로 9 (상일동),02-426-2505
서울청,서울강동우체국,서울성내1동우편취급국,05396,서울특별시 강동구 성내로 67 (성내동),02-6487-2001
서울청,서울강동우체국,서울성내동우체국,05408,서울특별시 강동구 양재대로 1309 (성내동),02-471-0205
서울청,서울강동우체국,서울암사3동우편취급국,05237,"서울특별시 강동구 고덕로27길 19 (암사동, 용성빌딩)",02-427-4949
서울청,서울강동우체국,서울천호3동우편취급국,05332,서울특별시 강동구 성안로 191 (천호동),02-470-9009
서울청,서울강동우체국,서울천호동우체국,05328,서울특별시 강동구 구천면로 188 (천호동),02-472-3301
서울청,서울강남우체국,군인공제회우편취급국,06292,서울특별시 강남구 남부순환로 2806 (도곡동),02-2190-2727
서울청,서울강남우체국,서울AID우편취급국,06091,서울특별시 강남구 삼성로 635 (삼성동),02-548-0238
서울청,서울강남우체국,서울강남우체국,06336,서울특별시 강남구 개포로 619 (개포동),02-2040-4021
서울청,서울강남우체국,서울개포1동우체국,06325,서울특별시 강남구 선릉로 36 (개포동),02-575-0205
서울청,서울강남우체국,서울개포현대우편취급국,06303,서울특별시 강남구 개포로17길 6 (개포동),02-575-8340
서울청,서울강남우체국,서울논현2동우편취급국,06054,서울특별시 강남구 언주로148길 31-1 (논현동),02-549-4415
서울청,서울강남우체국,서울논현거평우편취급국,06121,서울특별시 강남구 봉은사로 129 (논현동),02-5454-707
서울청,서울강남우체국,서울논현동우체국,06104,서울특별시 강남구 학동로 212 (논현동),02-515-0411
서울청,서울강남우체국,서울대치4동우편취급국,06207,"서울특별시 강남구 도곡로 413(삼환쏘굿주상복합) 101호 (대치동, 삼환SOGOOD)",02-3452-0612
서울청,서울강남우체국,서울대치동아우편취급국,06196,서울특별시 강남구 역삼로71길 12 (대치동),02-563-0004
서울청,서울강남우체국,서울대치우성우편취급국,06280,서울특별시 강남구 남부순환로 2917 (대치동),02-561-0340
서울청,서울강남우체국,서울도곡서린우편취급국,06272,"서울특별시 강남구 도곡로28길 8, 도곡1차아이파크 상가내",02-3463-0336
서울청,서울강남우체국,서울도곡한신우편취급국,06296,서울특별시 강남구 논현로38길 38- 4    2층 (도곡동),02-579-1242
서울청,서울강남우체국,서울무역센터우체국,06164,서울특별시 강남구 영동대로 513 (삼성동),02-551-1607
서울청,서울강남우체국,서울미성우편취급국,06029,서울특별시 강남구 압구정로 134 (신사동),02-549-0205
서울청,서울강남우체국,서울삼성2동우편취급국,06155,서울특별시 강남구 삼성로107길 5(삼성동 120-1),02-567-3800
서울청,서울강남우체국,서울삼성동우체국,06153,서울특별시 강남구 선릉로 572 (삼성동),02-562-0208
서울청,서울강남우체국,서울상록회관우체국,06152,서울특별시 강남구 언주로 508 (역삼동),02-567-2974
서울청,서울강남우체국,서울수서동우체국,06349,서울특별시 강남구 광평로 303 (수서동),02-451-0009
서울청,서울강남우체국,서울신사현대우편취급국,06035,서울특별시 강남구 강남대로 620 (신사동),02-542-0092
서울청,서울강남우체국,서울압구정우편취급국,06018,서울특별시 강남구 압구정로 332 (신사동),02-548-0707
서울청,서울강남우체국,서울역삼1동우체국,06133,서울특별시 강남구 테헤란로 131 (역삼동),02-552-0159
서울청,서울강남우체국,서울역삼2동우체국,06225,서울특별시 강남구 역삼로 239 (역삼동),02-566-0205
서울청,서울강남우체국,서울역삼성보우편취급국,06149,서울특별시 강남구 선릉로 519 (역삼동),02-568-0205
서울청,서울강남우체국,서울역삼우성우편취급국,06241,서울특별시 강남구 테헤란로4길 46 (역삼동),02-565-0113
서울청,서울강남우체국,서울역삼한라우편취급국,06136,"서울특별시 강남구 봉은사로30길 42, 1층",02-563-0588
서울청,서울강남우체국,서울영동시장우편취급국,06110,"서울특별시 강남구 학동로4길 8, 2F (논현동)",02-549-3810
서울청,서울강남우체국,서울은마아파트우체국,06284,"서울특별시 강남구 삼성로 212 (대치동,은마아파트)",02-566-0400
서울청,서울강남우체국,서울일원동우체국,06341,서울특별시 강남구 양재대로55길 20 (일원동),02-459-2500
서울청,서울강남우체국,서울일원본동우체국,06361,서울특별시 강남구 광평로20길 8 (일원동),02-2226-0004
서울청,서울강남우체국,서울청담우편취급국,06077,서울특별시 강남구 학동로101길 26 (청담동),02-546-2005
서울청,서울강남우체국,서울청담청하우편취급국,06011,서울특별시 강남구 도산대로 507 (청담동),02-542-4668
서울청,서울강남우체국,서울해청아파트우편취급국,06092,서울특별시 강남구 학동로56길 45 (삼성동),02-547-0203
서울청,서울성북우체국,고려대학교우체국,02841,서울특별시 성북구 안암로 145 (안암동5가),02-923-2005
서울청,서울성북우체국,국민대학교우편취급국,02707,"서울특별시 성북구 정릉로 77 (정릉동,국민대학교)",02-910-4970
서울청,서울성북우체국,서경대학교우편취급국,02713,"서울특별시 성북구 서경로 124 (정릉동,서경대학교)",02-909-4180
서울청,서울성북우체국,서울돈암동우체국,02847,"서울특별시 성북구 보문로 178, 2층 (삼선동4가)",02-923-0430
서울청,서울성북우체국,서울동소문동우체국,02833,서울특별시 성북구 성북로2길 31 (동소문동1가),02-741-0204
서울청,서울성북우체국,서울삼익아파트우편취급국,02858,"서울특별시 성북구 안암로9길 30 (안암동3가,삼익아파트)",02-923-2004
서울청,서울성북우체국,서울석관1동우편취급국,,서울특별시 성북구 한천로 584 (석관동),
서울청,서울성북우체국,서울석관동우체국,2773,서울특별시 성북구 화랑로 203 (장위동),02-915-6800
서울청,서울성북우체국,서울성북2동우편취급국,2880,서울특별시 성북구 성북로 59 (성북동),02-741-0086
서울청,서울성북우체국,서울성북우체국,2733,서울특별시 성북구 동소문로 310 (하월곡동),02-3396-0124
서울청,서울성북우체국,서울월곡1동우편취급국,2748,서울특별시 성북구 화랑로5길 90 (하월곡동),02-942-1590
서울청,서울성북우체국,서울장위1동우편취급국,2744,서울특별시 성북구 장위로 60 (장위동),02-919-6900
서울청,서울성북우체국,서울장위동우체국,2776,서울특별시 성북구 돌곶이로28길 3 (장위동),02-916-2005
서울청,서울성북우체국,서울정릉우체국,2718,서울특별시 성북구 보국문로 12 (정릉동),02-914-0205
서울청,서울성북우체국,서울종암동우체국,2800,서울특별시 성북구 종암로 64 (종암동),02-912-0102
서울청,서울성북우체국,한성대학교우편취급국,2876,서울특별시 성북구 삼선교로16길 116 (삼선동2가),02-760-4235
서울청,서울서초우체국,가톨릭의과대학우편취급국,6591,"서울특별시 서초구 반포대로 222 (반포동,가톨릭대학교성의교정)",02-3478-0117
서울청,서울서초우체국,서울가정행정법원출장소,6749,서울특별시 서초구 강남대로 193 (양재동),02-529-1269
서울청,서울서초우체국,서울교대역우편취급국,6645,서울특별시 서초구 반포대로28길 72 (서초동),02-597-5356
서울청,서울서초우체국,서울대법원우편취급국,6590,서울특별시 서초구 서초대로 219 (서초동),02-3482-0191
서울청,서울서초우체국,서울무지개우편취급국,6627,서울특별시 서초구 효령로77길 34 b105 (서초동),02-581-0054
서울청,서울서초우체국,서울반포1동우편취급국,6543,서울특별시 서초구 주흥1길 22 (반포동),02-3443-3659
서울청,서울서초우체국,서울반포4동우편취급국,6577,서울특별시 서초구 서래로10길 1 (반포동),02-3478-1500
서울청,서울서초우체국,서울반포우체국,6505,서울특별시 서초구 신반포로 131 (반포동),02-593-0005
서울청,서울서초우체국,서울반포주공우편취급국,6599,"서울특별시 서초구 서초중앙로 224, 한양상가 120호 (반포동,서초한양아파트상가)",02-534-0016
서울청,서울서초우체국,서울방배1동우편취급국,6683,"서울특별시 서초구 방배로13길 18 (방배동,방배아크로타워)",02-581-2004
서울청,서울서초우체국,서울방배2동우편취급국,6693,서울특별시 서초구 방배천로2길 39-15 (방배동),02-521-3874
서울청,서울서초우체국,서울방배3동우편취급국,6705,"서울특별시 서초구 방배로6길 10-21 102호 (방배동, 평산빌딩)",02-586-3060
서울청,서울서초우체국,서울방배동우체국,6584,서울특별시 서초구 방배로 238 (방배동),02-593-0004
서울청,서울서초우체국,서울법원청사우체국,6594,서울특별시 서초구 서초중앙로 157 (서초동),02-537-7073
서울청,서울서초우체국,서울서초1동우체국,6721,서울특별시 서초구 효령로60길 13 (서초동),02-583-0205
서울청,서울서초우체국,서울서초2동우편취급국,6732,"서울특별시 서초구 서운로 19, 서초월드오피스텔 B1 (서초동)",02-3473-5264
서울청,서울서초우체국,서울서초3동우체국,6657,서울특별시 서초구 반포대로 99 (서초동),02-581-2005
서울청,서울서초우체국,서울서초우체국,6779,서울특별시 서초구 동산로 19 (양재동),02-3498-8008
서울청,서울서초우체국,서울신반포우편취급국,6512,"서울특별시 서초구 신반포로 177 (잠원동,반포쇼핑타운)",02-591-3200
서울청,서울서초우체국,서울양재동우체국,6738,서울특별시 서초구 남부순환로356길 5 (양재동),02-573-0116
서울청,서울서초우체국,서울우면동우체국,6764,서울특별시 서초구 태봉로 58 (우면동),02-3463-9950
서울청,서울서초우체국,서울잠원한신우편취급국,6530,"서울특별시 서초구 강남대로95길 41, 양지빌딩 102호 (잠원동)",02-515-3323
서울청,서울서초우체국,서울진흥아파트우편취급국,6617,"서울특별시 서초구 서초대로 385, 진흥종합상가 2층 3호 (서초동,진흥아파트)",02-3482-0450
서울청,서울송파우체국,서울가든파이브우체국,5838,서울특별시 송파구 충민로 66 (문정동),02-6949-3033
서울청,서울송파우체국,서울가락극동우편취급국,5783,"서울특별시 송파구 동남로 208 (가락동,극동아파트)",02-404-2116
서울청,서울송파우체국,서울가락본동우체국,5717,서울특별시 송파구 송파대로30길 36 (가락동),02-408-0409
서울청,서울송파우체국,서울거여동우체국,5771,서울특별시 송파구 양산로 3 (거여동),02-402-2855
서울청,서울송파우체국,서울동부지방법원우체국,5856,"서울특별시 송파구 법원로 101 (문정동, 서울동부지방법원)",02-2138-8740
서울청,서울송파우체국,서울마천동우체국,5757,서울특별시 송파구 거마로20길 34 (마천동),02-407-6661
서울청,서울송파우체국,서울문정건영우편취급국,5808,서울특별시 송파구 새말로 103 (문정동),02-404-5009
서울청,서울송파우체국,서울문정동우체국,5834,서울특별시 송파구 중대로 20 (문정동),02-448-0205
서울청,서울송파우체국,서울문정로데오우편취급국,5805,서울특별시 송파구 동남로4길 10 (문정동),02-409-0203
서울청,서울송파우체국,서울방이동우체국,5642,서울특별시 송파구 오금로 187 (방이동),02-417-0789
서울청,서울송파우체국,서울삼전동우체국,5584,서울특별시 송파구 백제고분로 256 (삼전동),02-417-0800
서울청,서울송파우체국,서울삼전서호우편취급국,5600,"서울특별시 송파구 삼전로12길 10, 1층 01호 (삼전동,경림빌딩)",02-422-6465
서울청,서울송파우체국,서울송파1동우체국,5666,서울특별시 송파구 백제고분로42길 5 (송파동),02-422-0004
서울청,서울송파우체국,서울송파우체국,5661,서울 송파구 오금로 323 (오금동),02-405-8777
서울청,서울송파우체국,서울송파한양우편취급국,5674,서울특별시 송파구 송이로 26 (송파동),02-2202-0004
서울청,서울송파우체국,서울아산병원우편취급국,5505,서울특별시 송파구 올림픽로43길 88 (풍납동),02-3010-7888
서울청,서울송파우체국,서울오금대림우편취급국,5657,서울특별시 송파구 마천로 61 (오금동),02-448-0015
서울청,서울송파우체국,서울오륜동우체국,5649,"서울특별시 송파구 양재대로 1218 (방이동,올림픽선수촌아파트)",02-404-0014
서울청,서울송파우체국,서울위례동우편취급국,5852,"서울특별시 송파구 위례광장로 290, 위례중앙푸르지오 2단지 상가동 제136호 (장지동, 위례중앙푸르지오2단지)",02-402-2005
서울청,서울송파우체국,서울잠실2동우체국,5501,서울특별시 송파구 올림픽로 107 (잠실동),02-423-0004
서울청,서울송파우체국,서울잠실3동우체국,5503,서울특별시 송파구 잠실로 51-33 (잠실동),02-412-2005
서울청,서울송파우체국,서울잠실4동우체국,5507,서울특별시 송파구 올림픽로35길 14,02-423-2005
서울청,서울송파우체국,서울잠실우성우편취급국,5571,"서울특별시 송파구 올림픽로4길 48, 프리마상가 205 (잠실동,우성아파트)",02-413-0233
서울청,서울송파우체국,서울장미아파트우편취급국,5504,"서울 송파구 올림픽로35길 124, 221호",02-415-3050
서울청,서울송파우체국,서울풍납2동우편취급국,5537,"서울특별시 송파구 올림픽로45길 19 (풍납동,풍성빌딩)",02-474-6114
서울청,서울송파우체국,서울풍납동우체국,5520,서울특별시 송파구 올림픽로 575 (풍납동),02-483-2006
서울청,서울송파우체국,헬리오시티우편취급국,5698,"서울특별시 송파구 송파대로 345, 헬리오시티 상가 1A동 2043호 (2층 43호) (가락동, 헬리오시티)",02-400-2776
서울청,서울노원우체국,광운대학교우편취급국,1897,"서울특별시 노원구 광운로 20 (월계동,광운대학교)",02-915-8405
서울청,서울노원우체국,삼육대학교우체국출장소,1795,"서울특별시 노원구 화랑로 815 (공릉동,삼육대학교)",02-935-8933
서울청,서울노원우체국,삼육대학교우편취급국,1795,"서울특별시 노원구 화랑로 815 제3과학관 지층 (공릉동, 삼육대학교)",02-935-8933
서울청,서울노원우체국,서울공릉2동우편취급국,1818,서울특별시 노원구 공릉로 168 (공릉동),02-972-3095
서울청,서울노원우체국,서울공릉동우체국,1849,서울특별시 노원구 동일로 988 (공릉동),02-972-9000
서울청,서울노원우체국,서울과학기술대우편취급국,1811,"서울특별시 노원구 공릉로 232 (공릉동,서울과학기술대학교)",02-976-2005
서울청,서울노원우체국,서울노원역우편취급국,1751,"서울특별시 노원구 노해로 492, 202호 (상계동,프린스빌딩)",02-952-0440
서울청,서울노원우체국,서울노원우체국,1740,서울특별시 노원구 중계로 123 (중계동),02-950-3226
서울청,서울노원우체국,서울상계10동우체국,1678,서울특별시 노원구 노원로 510 (상계동),02-932-0101
서울청,서울노원우체국,서울상계1동우체국,1630,서울특별시 노원구 동일로 1632 (상계동),02-937-0800
서울청,서울노원우체국,서울상계3동우체국,1640,서울특별시 노원구 덕릉로113길 18 (상계동),02-936-2005
서울청,서울노원우체국,서울상계5동우편취급국,1682,서울특별시 노원구 한글비석로31길 19 (상계동),02-933-8765
서울청,서울노원우체국,서울상계6동우체국,1762,서울특별시 노원구 노해로 448 (상계동),02-937-0100
서울청,서울노원우체국,서울상계8동우편취급국,1675,"서울특별시 노원구 한글비석로 571 (상계동,상계주공아파트(10단지))",02-934-2115
서울청,서울노원우체국,서울상계미도우편취급국,1765,서울특별시 노원구 덕릉로 459-37 (상계동),02-937-2015
서울청,서울노원우체국,서울상계한양우편취급국,1754,"서울특별시 노원구 동일로216길 92 (상계동,한양아파트)",02-938-2105
서울청,서울노원우체국,서울수락산우체국,1604,서울특별시 노원구 동일로 1693-6 (상계동),02-933-6508
