사업소명,사업소전화번호,소재지도로명주소,소재지지번주소,위도,경도,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,기타임대농기계보유정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
양평군농업기술센터 본소,031-770-3591,경기도 양평군 양평읍 농업기술센터길 37,경기도 양평군 양평읍 공흥리 1-1,37.50924203,127.5132942,87,15,34,21,30,1,4,2,,031-770-3592,경기도 양평군청,2023-05-23,4170000,경기도 양평군
구미농기계임대사업소 산동분소,054-480-4267,경상북도 구미시 산동면 강동로 851-21,경상북도 구미시 산동면 인덕리 520,36.163312,128.453877,53,5,16,17,7,7,0,0,농기계용사다리(17)+휴대용전동적화기(0)+인력비닐피복기(2)+농산물제피기(0)+휴대용전동가위(1)+동력운반차(4)+굴삭기(2)+로우더(1)+파이프성형기(2)+동력이식기(2)+동력비료살포기(2)+동력제초기(6)+마늘쪽분리기(2),054-480-4267,경상북도 구미시청,2023-10-20,5080000,경상북도 구미시
강화군농기계은행 북부분점,032-933-4174,인천광역시 강화군 송해면 강화대로 842-12,인천광역시 강화군 송해면 하도리 1218,37.76640828,126.4513763,84,5,21,14,15,1,0,0,,032-930-4175,인천광역시 강화군청,2024-07-11,3570000,인천광역시 강화군
강화군농기계은행 남부분점,032-937-4174,인천광역시 강화군 화도면 마니산로 348,인천광역시 강화군 화도면 덕포리 853,37.63284175,126.4549943,86,9,29,16,22,0,0,0,,032-930-4175,인천광역시 강화군청,2024-07-11,3570000,인천광역시 강화군
부여군농기계임대사업소(본소),041-830-2617,충청남도 부여군 규암면 흥수로 488,충청남도 부여군 규암면 노화리 325-1,36.25968719,126.8421623741,140,7,40,9,30,5,1,16,감박피기(1)+은행탈피기(2)+스키로더(1)+자주형콩탈곡기(1)+잔가지파쇄기(11)+SS분무기 방제기(1)+SS퇴비살포기(3)+중경제초기(3)+전동가위(5),041-830-2607,충청남도 부여군청,2024-08-06,4570000,충청남도 부여군
농기계임대사업소남부분소,041-830-2577,충청남도 부여군 임천면 충절로 923-12,충청남도 부여군 임천면 만사리 404-1,36.16724947,126.8926997,102,8,23,8,13,6,2,0,잔가지파쇄기(10)+전동가위(8)+동력과실수확기(2),041-830-2577,충청남도 부여군청,2024-08-06,4570000,충청남도 부여군
농기계임대사업소동부분소,041-830-2960,충청남도 부여군 석성면 왕릉로정각사길 8-11,충청남도 부여군 석성면 정각리 148-2,36.26500572,126.9822204,74,2,12,6,11,4,0,0,은행탈피기(1)+스키로더(1)+잔가지파쇄기(9)+용배수로 예초기(1)+탈망기(2)+전동가위(2),041-830-2960,충청남도 부여군청,2024-08-06,4570000,충청남도 부여군
농기계임대사업소 서부분소,041-830-3933,충청남도 부여군 홍산면 남성로 85,충청남도 부여군 홍산면 좌홍리 1024-4,36.21078079,126.7726556,54,0,10,3,11,2,0,0,잔가지파쇄기(6)+전동가위(5),041-830-3933,충청남도 부여군청,2024-08-06,4570000,충청남도 부여군
화순군농업기계임대사업소 능주분소,061-379-5464,전라남도 화순군 능주면 학포로 2343,전라남도 화순군 능주면 만수리 797-16,35.022312,126.950596,81,15,48,12,21,4,2,2,,061-379-5466,전라남도 화순군청,2024-08-07,4900000,전라남도 화순군
화순군농업기계임대사업소 동복분소,061-379-5497,전라남도 화순군 동복면 오지호로 335,전라남도 화순군 동복면 천변리 5-1,35.07481075,127.1282122,45,9,31,9,19,3,1,0,,061-379-5466,전라남도 화순군청,2024-08-07,4900000,전라남도 화순군
(창원시)창원농기계임대사업소,055-225-5444,경상남도 창원시 의창구 동읍 봉강가술로 70,경상남도 창원시 의창구 동읍 봉곡리 176-1,,,2,2,11,9,13,0,0,13,"98(동력살분무기 3, 광역살포기 1,탈망기 1, 볍씨발아기 1, 전엽기 5, 줄기파쇄기 1, 콩콤바인 3, 인력파종기 1,비닐피복기 5, 스키드로드 3, 사료절단기 1, SS기 9, 승용제초기 12, 고소작업차 2, 목재파쇄기 3, 잔가지파쇄기 2, 과수박피기 10, 전동가위2, 화수분기 4, 파이프성형밴딩기 4, 고추세척기 2, 농용굴삭기 6, 굴착기 1, 운반차 12, 무인예취기 1, 농산물결속기 1, 마늘쪽분리기 1, 항타기 1",055-225-5444,경상남도 창원시,2024-08-06,6480000,경상남도
(창원시)마산농기계임대사업소,055-225-5445,경상남도 창원시 마산합포구 진북면 지산1길 130,경상남도 창원시 마산합포구 진북면 지산리 262-10,,,1,3,9,10,10,1,0,2,"48(육묘상자이송기 2, 탈망기 2, 동력살분무기 5, 광역살포기 1, 인력파종기 3+, 다목적이식기 2, 정식기 2, 덩굴파쇄기 1, 콩콤바인 1, 전동가위 4, 잔가지파쇄기 3,목재파쇄기 3, 고소작업차 2, 동력제초기 4, 파이프성형밴딩기 1, 농용굴착기 6, 퇴비살포기 2, 운반차 2, 비닐피복기 2",055-225-5445,경상남도 창원시,2024-08-06,6480000,경상남도
(창원시)진해농기계임대사업소,055-225-5635,경상남도 창원시 진해구 웅천로 218,경상남도 창원시 진해구 성내동 476-2,,,1,1,4,1,3,0,0,2,"13(동력살분무기 2,비닐피복기 2,잔가지파쇄기 2,목재파쇄기 1,전동가위 3,농용굴삭기 1,운반차 1,비료살포기 1)",055-225-5635,경상남도 창원시,2024-08-06,6480000,경상남도
남부농기계임대사업소,055-749-7908,경상남도 진주시 문산읍 문정로 471-9,경상남도 진주시 문산읍 두산리 777,,,86,14,36,16,18,0,2,0,,055-749-7908,경상남도 진주시,2024-08-06,6480000,경상남도
중부농기계임대사업소,055-794-7907,경상남도 진주시 집현면 신당길 207번길 22,경상남도 진주시 집현면 신당리 95-1,,,57,12,25,9,11,0,0,0,,055-794-7907,경상남도 진주시,2024-08-06,6480000,경상남도
동부농기계임대사업소,055-794-7906,경상남도 진주시 진성면 동부로 1605,경상남도 진주시 진성면 천곡리 1151-6,,,55,10,14,8,6,0,0,0,,055-794-7906,경상남도 진주시,2024-08-06,6480000,경상남도
농기계임대사업소,055-831-3880,경상남도 사천시 용현면 진삼로 902,경상남도 사천시 용현면 신복리 500,,,26,18,14,13,17,2,0,0,,055-831-3880,경상남도 사천시,2024-08-06,6480000,경상남도
서부농기계임대사업소,055-831-3023,경상남도 사천시 곤양면 서삼로 103,경상남도 사천시 곤양면 송전리 99-6,,,5,6,6,8,5,0,0,0,,055-831-3023,경상남도 사천시,2024-08-06,6480000,경상남도
김해시농기계임대사업소 본소,055-350-4043,경상남도 김해시 전하로198번길 102,경상남도 김해시 전하동 900,,,75,6,15,10,6,5,0,0,과수표피제거기(3)+과일선별기(3)+경량사다리(6)+농용굴삭기(5)+동력분무기(4)+동력전정가위(2)+동력제초기(8)+동력파쇄기(5)+양수기(4)+종자발아기(5)+탈망기(2)+파이프성형기(4),055-350-4043,경상남도 김해시,2024-08-06,6480000,경상남도
당진시농업기술센터 본소,041-360-6382,충청남도 당진시 구봉로 46,,,,145,5,25,25,60,15,0,0,굴착기(3)+사다리(7)+줄기절단기(4)+농산물포장기(1)+농업용고압세척기(1)+농업용로우더(1)+지주설치기(6)+파이프벤딩성형기(2)+동력배토기(6)+동력살분무기(11)+비료살포기(3)+동력이식기(7)+동력제초기(9)+동력파쇄기(15)+붐스프레이어(2)+전기용접기(4)+제초기(1)+파종기(22)+전동가위(2),041-355-5959,충청남도 당진시 농업기술센터,2024-12-01,5680000,충청남도 당진시
당진시농업기술센터 남부지소,041-360-6422,충청남도 당진시 합덕읍 면천로 1580,,,,122,9,15,26,56,8,0,0,굴삭기(1)+돌수집기(4)+마늘쪽분리기(3)+무인방제보트(2)+사다리(7)+동력살포기(배부식)(6)+퇴비살포기(자주형)(1)+퇴비살포기(견인형)(5)+수확기(마늘)(11)+심토파쇄기(7련)(5)+전동가위(8)+양파전엽기(2)+제초기(11)+승용제초기(4)+색채선별기(1)+인력파종기(15)+항타기(3)+휴립복토기(2)+비닐피복기(2),041-355-5959,충청남도 당진시 농업기술센터,2024-12-01,5680000,충청남도 당진시
농업기계임대사업소 중부분소,041-662-3315,충청남도 서산시 성연면 생동사동길 21,충청남도 서산시 성연면 오사리 386-1,36.83451834,126.4392442,86,7,13,43,44,5,0,0,64굴착기 (1) + 마늘쪽선별기 (7) + 마늘선별기 (1) + 농산물세척기 (1) + 적심기 (1) + 절락형절단기 (1) + 동력운반차 (1) + 고속절단기 (1) + 파이프벤딩기 (2) + 동력배토기 (4) + 동력살분무기 (4) + 동력목재파쇄기 (1) + 마늘쪽분리기 (5) + 비닐피복기 (5) + 육묘상자운반기 (3) + 예초기 (1) + 종자소독기 (1) + 탈망기 (4) + 파종기 (20),041-660-3911,충청남도서산시농업기술센터,2023-06-30,4530000,충청남도 서산시
농업기계임대사업소 북부분소,041-681-1006,충청남도 서산시 대산읍 대산1로 70,충청남도 서산시 대산읍 대산리 91-24,36.93870929,126.438036,75,10,12,39,40,4,0,0,55굴착기 (2) + 마늘쪽선별기 (6) + 마늘선별기 (1) + 적심기 (1) + 고속절단기 (1) + 파이프벤딩기 (2) + 동력배토기 (5) + 동력살분무기 (2) + 동력목재파쇄기 (1) + 마늘쪽분리기 (5) + 비닐피복기 (4) + 육묘상자운반기 (3) + 적재기 (1) + 종자소독기 (1) + 탈망기 (5) + 파종기 (15),041-660-3911,충청남도서산시농업기술센터,2023-06-30,4530000,충청남도 서산시
괴산농기계임대사업소,043-830-2738,충청북도 괴산군 괴산읍 수진4길 66,충청북도 괴산군 괴산읍 서부리 708,36.81504418,127.7778361,43,1,31,18,22,5,0,0,가축용보정틀1+농업용굴삭기2+농산물순제거기1+농업용고소작업차2+농업용지주설치기4+농용파이프밴딩성형기8+동력제초기2+동력파쇄기5+스피드스프레이어2+원거리용방제기1+콤바인2+콩예취기1+동력퇴비살포기3+휴대용자동전동가위1,043-833-2738,괴산군 농업기술센터,2023-07-10,4460000,충청북도 괴산군
감물농기계임대사업소,043-833-2763,충청북도 괴산군 감물면 감물로이담4길 5,충청북도 괴산군 감물면 이담리 521,36.86416862,127.8660578,33,1,25,9,21,3,0,0,농업용굴삭기3+농산물세척기4+농산물순제거기1+농업용고소작업차4+농업용동력운반차2+농용파이프밴딩성형기3+동력이식기4+동력제초기2+동력파쇄기6+분무기1+스피드스프레이어1+예취기1+원거리용방제기1+콤바인2+콩예취기3+휴대용자동전동가위5,043-833-2763,괴산군 농업기술센터,2023-07-10,4460000,충청북도 괴산군
장연농기계임대사업소,043-833-2738,충청북도 괴산군 장연면 연풍로 448,충청북도 괴산군 장연면 송덕리 494-6,36.78142578,127.9247488,26,2,27,16,17,4,0,0,농업용굴삭기3+농산물세척기2+농산물절단기1+농업용고소작업차1+농용파이프벤딩성형기4+동력이식기2+동력파쇄기3+스피드스프레이어1+예취기1+콩예취기3,043-832-0981,괴산군 농업기술센터,2023-07-10,4460000,충청북도 괴산군
연풍농기계임대사업소,043-833-4551,충청북도 괴산군 연풍면 연풍로배상길 101,충청북도 괴산군 연풍면 행촌리 807,36.76680546,127.989796,29,1,13,3,15,2,0,0,농업용굴삭기2+농산물절단기1+농업용고소작업차6+농업용동력운반차1+농용파이프벤딩성형기1+동력제초기2+동력파쇄기3+스피드스프레이어2+원거리용방제기1+콩예취기2+휴대용자동전동가위5,043-836-2769,괴산군 농업기술센터,2023-07-10,4460000,충청북도 괴산군
청천농기계임대사업소,043-832-0981,충청북도 괴산군 청천면 금평진등2길 13-15,충청북도 괴산군 청천면 도원리 202-12,36.67798342,127.7642411,37,3,49,21,25,7,0,0,농업용굴삭기2+농산물순제거기1+농업용동력운반차1+농업용지주설치기1+농용파이프벤딩성형기2+동력이식기3+동력제초기1+동력파쇄기3+스피드스프레이어1+예취기1+원거리용방제기1+콩예취기3+휴대용자동전동가위4,043-830-2738,괴산군 농업기술센터,2023-07-10,4460000,충청북도 괴산군
사리농기계임대사업소,043-836-2763,충청북도 괴산군 사리면 사리로사담1길 5,충청북도 괴산군 사리면 사담리 533,36.81890849,127.6493508,40,5,34,22,20,8,0,0,농업용굴삭기3+농산물세척기2+농산물순제거기1+농업용고소작업차2+농용파이프벤딩성형기3+동력이식기2+동력제초기6+동력파쇄기4+분무기1+예취기4+휴대용자동전동가위5+동력퇴비살포기3,043-833-4551,괴산군 농업기술센터,2023-07-10,4460000,충청북도 괴산군
당진시농업기술센터 북부지소,041-360-6614,충청남도 당진시 석문면 대호로 1479-2,,,,115,10,25,22,48,5,0,0,굴착기(1)+사다리(2)+볏짚절단기(4)+항타기(3)+잔가지파쇄기(1)+줄기제초기(12)+동력방제기(5)+돌수집기(7)+동력배토기(8)+동력살분무기(1)+동력살포기(8)+미스트기(3)+동력비료살포기(4)+보행예취기(1)+승용제초기(3)+무인방제보트(10)+비닐피복작업기(1)+배터리분무기(1)+마늘수확기(2)+퇴비살포기(1)+전동가위(5),041-355-5959,충청남도 당진시 농업기술센터,2024-12-01,5680000,충청남도 당진시
당진시농업기술센터 중부지소,041-360-6410,충청남도 당진시 신평면 덕평로 1366-35,,,,53,0,6,7,22,0,0,0,굴착기(1)+사다리(3)+항타기(3)+동력살분무기(4)+동력살포기(4)+동력제초기(3)+목재파쇄기(1)+잔가지파쇄기(1)+줄기제초기(9)+마늘수확기(2)+황금파종기(10)+방제보트(3),041-355-5959,충청남도 당진시 농업기술센터,2024-12-01,5680000,충청남도 당진시
청주시 농기계 임대사업소,043-201-3844,충청북도 청주시 상당구 남일면 단재로 480,충청북도 청주시 상당구 남일면 효촌리 279,36.5885553479,127.5053143118,48,55,174,29,19,16,39,23,772,043-201-3991,청주시농업기술센터,2024-12-11,5710000,충청북도 청주시
중부임대사업소,063-640-4512,전북특별자치도 임실군 임실읍 봉황로 371,전북특별자치도 임실군 임실읍 두곡리 42-1,35.62997337,127.2900121,1,14,31,35,26,20,0,0,,063-640-2773,전북특별자치도 임실군청,2024-12-12,4761000,전북특별자치도 임실군
남부임대사업소,063-640-4515,전북특별자치도 임실군 오수면 오수로 195-60,전북특별자치도 임실군 오수면 대명리 699-2,35.540192,127.3228871,1,14,30,30,25,21,0,0,,063-640-2773,전북특별자치도 임실군청,2024-12-12,4761000,전북특별자치도 임실군
북부임대사업소,063-640-4517,전북특별자치도 임실군 신덕면 수지로 36,전북특별자치도 임실군 신덕면 수천리 894-3,35.68062597,127.1732322,1,12,21,14,16,15,0,0,,063-640-2773,전북특별자치도 임실군청,2024-12-12,4761000,전북특별자치도 임실군
서부임대사업소,063-640-4518,전북특별자치도 임실군 강진면 강동로 1346,전북특별자치도 임실군 강진면 갈담리 505,35.5282694,127.1603291,1,10,15,13,15,19,0,0,,063-640-2773,전북특별자치도 임실군청,2024-12-12,4761000,전북특별자치도 임실군
가평군농업기술센터 농기계임대사업소,031-580-4791,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지,37.845968,127.498648,136,0,36,5,32,30,29,20,박피기(1)+굴삭기(7)+스키드로더(2)+동력예초기(4)+스피드스프레이어(1)+동력퇴비살포기(2)+잔가지파쇄기(6)+콩예초기(5)+육묘상자운반기(2)+농산물제피기(1)+이식기(5)+진압기(1)+엔진브로워(2)+고소작업차(1)+대파파종기(1)+육묘상자 세척기(1),031-580-4791,경기도 가평군청,2024-12-06,4160000,경기도 가평군
고양시 농업기계 임대사업소,031-8075-4284,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10번지,37.64977718,126.8700851,21,0,14,2,2,0,0,1,광역방제기(1)+SS분무기(1)+축산세트장비(1)+인력파종기(6)+적재사다리(6),031-8075-4284,경기도 고양시청,2023-11-23,3940000,경기도 고양시
보령시 농업기계 임대사업소,041-930-7687,충청남도 보령시 주포면 충서로 3220,충청남도 보령시 주포면 관산리 432,36.39702879,126.571342,45,2,24,12,23,0,8,1,122,041-930-7655,충청남도 보령시 농업기술센터,2023-11-30,4510000,충청남도 보령시
보령시 남부 농업기계 임대사업소,041-930-7697,충청남도 보령시 웅천읍 장터7길 30,충청남도 보령시 웅천읍 대창리 349-5,36.2330029,126.5962866,31,2,14,9,14,0,6,1,81,041-930-7697,충청남도 보령시 농업기술센터,2023-11-30,4510000,충청남도 보령시
